id	stage	metric	value	extra
quant-ph/0402095	regex_section	rouge1_f	0.4724091520861373	future_work,limitations
quant-ph/0402095	regex_section	rouge2_f	0.3833726018175699	future_work,limitations
quant-ph/0402095	regex_section	rougeL_f	0.44717362045760434	future_work,limitations
quant-ph/0402095	regex_section	pred_chars	11612.0	
quant-ph/0402095	llm_gap	n_gaps	2.0	
quant-ph/0402095	llm_gap	mean_sim_to_gold	0.5519315004348755	
quant-ph/0402095	llm_gap	mean_sim_to_full	0.5519315004348755	
quant-ph/0402095	llm_gap	recovery_at_0.5	1.0	
quant-ph/0402095	llm_gap	hallucination_at_0.5	0.0	
quant-ph/0402095	llm_gap	recovery_at_0.6	0.0	
quant-ph/0402095	llm_gap	hallucination_at_0.6	1.0	
quant-ph/0402095	llm_gap	recovery_at_0.7	0.0	
quant-ph/0402095	llm_gap	hallucination_at_0.7	1.0	
quant-ph/0402095	pipeline_vs_oracle	n_oracle_gaps	2.0	
quant-ph/0402095	pipeline_vs_oracle	mean_sim_pipe_to_oracle	0.2380734086036682	
quant-ph/0402095	pipeline_vs_oracle	mean_sim_oracle_to_pipe	0.2221197485923767	
quant-ph/0402095	pipeline_vs_oracle	recovery_at_0.5	0.0	
quant-ph/0402095	pipeline_vs_oracle	coverage_at_0.5	0.0	
quant-ph/0402095	pipeline_vs_oracle	recovery_at_0.6	0.0	
quant-ph/0402095	pipeline_vs_oracle	coverage_at_0.6	0.0	
quant-ph/0402095	pipeline_vs_oracle	recovery_at_0.7	0.0	
quant-ph/0402095	pipeline_vs_oracle	coverage_at_0.7	0.0	
cs/0610128	regex_section	rouge1_f	0.8579710144927537	fallback
cs/0610128	regex_section	rouge2_f	0.7930029154518949	fallback
cs/0610128	regex_section	rougeL_f	0.8579710144927537	fallback
cs/0610128	regex_section	pred_chars	1126.0	
cs/0610128	llm_gap	n_gaps	1.0	
cs/0610128	llm_gap	mean_sim_to_gold	1.0	
cs/0610128	llm_gap	mean_sim_to_full	1.0	
cs/0610128	llm_gap	recovery_at_0.5	1.0	
cs/0610128	llm_gap	hallucination_at_0.5	0.0	
cs/0610128	llm_gap	recovery_at_0.6	1.0	
cs/0610128	llm_gap	hallucination_at_0.6	0.0	
cs/0610128	llm_gap	recovery_at_0.7	1.0	
cs/0610128	llm_gap	hallucination_at_0.7	0.0	
cs/0610128	pipeline_vs_oracle	n_oracle_gaps	1.0	
cs/0610128	pipeline_vs_oracle	mean_sim_pipe_to_oracle	1.0000001192092896	
cs/0610128	pipeline_vs_oracle	mean_sim_oracle_to_pipe	1.0000001192092896	
cs/0610128	pipeline_vs_oracle	recovery_at_0.5	1.0	
cs/0610128	pipeline_vs_oracle	coverage_at_0.5	1.0	
cs/0610128	pipeline_vs_oracle	recovery_at_0.6	1.0	
cs/0610128	pipeline_vs_oracle	coverage_at_0.6	1.0	
cs/0610128	pipeline_vs_oracle	recovery_at_0.7	1.0	
cs/0610128	pipeline_vs_oracle	coverage_at_0.7	1.0	
0803.2303	regex_section	rouge1_f	0.23013698630136983	discussion,future_work
0803.2303	regex_section	rouge2_f	0.18181818181818182	discussion,future_work
0803.2303	regex_section	rougeL_f	0.23013698630136983	discussion,future_work
0803.2303	regex_section	pred_chars	1226.0	
0803.2303	llm_gap	n_gaps	1.0	
0803.2303	llm_gap	mean_sim_to_gold	1.0	
0803.2303	llm_gap	mean_sim_to_full	1.0	
0803.2303	llm_gap	recovery_at_0.5	1.0	
0803.2303	llm_gap	hallucination_at_0.5	0.0	
0803.2303	llm_gap	recovery_at_0.6	1.0	
0803.2303	llm_gap	hallucination_at_0.6	0.0	
0803.2303	llm_gap	recovery_at_0.7	1.0	
0803.2303	llm_gap	hallucination_at_0.7	0.0	
0803.2303	pipeline_vs_oracle	n_oracle_gaps	1.0	
0803.2303	pipeline_vs_oracle	mean_sim_pipe_to_oracle	1.0000001192092896	
0803.2303	pipeline_vs_oracle	mean_sim_oracle_to_pipe	1.0000001192092896	
0803.2303	pipeline_vs_oracle	recovery_at_0.5	1.0	
0803.2303	pipeline_vs_oracle	coverage_at_0.5	1.0	
0803.2303	pipeline_vs_oracle	recovery_at_0.6	1.0	
0803.2303	pipeline_vs_oracle	coverage_at_0.6	1.0	
0803.2303	pipeline_vs_oracle	recovery_at_0.7	1.0	
0803.2303	pipeline_vs_oracle	coverage_at_0.7	1.0	
0805.3456	regex_section	rouge1_f	0.13659793814432988	future_work
0805.3456	regex_section	rouge2_f	0.12774193548387097	future_work
0805.3456	regex_section	rougeL_f	0.13659793814432988	future_work
0805.3456	regex_section	pred_chars	7688.0	
0805.3456	llm_gap	n_gaps	2.0	
0805.3456	llm_gap	mean_sim_to_gold	0.5888372659683228	
0805.3456	llm_gap	mean_sim_to_full	0.8420219421386719	
0805.3456	llm_gap	recovery_at_0.5	0.5	
0805.3456	llm_gap	hallucination_at_0.5	0.0	
0805.3456	llm_gap	recovery_at_0.6	0.5	
0805.3456	llm_gap	hallucination_at_0.6	0.0	
0805.3456	llm_gap	recovery_at_0.7	0.5	
0805.3456	llm_gap	hallucination_at_0.7	0.5	
0805.3456	pipeline_vs_oracle	n_oracle_gaps	1.0	
0805.3456	pipeline_vs_oracle	mean_sim_pipe_to_oracle	0.580769956111908	
0805.3456	pipeline_vs_oracle	mean_sim_oracle_to_pipe	1.000000238418579	
0805.3456	pipeline_vs_oracle	recovery_at_0.5	0.5	
0805.3456	pipeline_vs_oracle	coverage_at_0.5	1.0	
0805.3456	pipeline_vs_oracle	recovery_at_0.6	0.5	
0805.3456	pipeline_vs_oracle	coverage_at_0.6	1.0	
0805.3456	pipeline_vs_oracle	recovery_at_0.7	0.5	
0805.3456	pipeline_vs_oracle	coverage_at_0.7	1.0	
